"","initial","final"
"109","Information technology","Technology"
"110","oil trading","Energy"
"111","Appliances","Commodities"
"112","Shipbuilding","Industrial"
"113","banking, retail","Finance"
"114","supermarkets","Retail"
"115","generic drugs","Health Care"
"116","food","Food & Beverage"
"117","Bridas","Energy"
"118","cork, investments","Finance"
"119","movies, music","Media & Telecom"
"120","Franklin Resources","Finance"
"121","palm oil","Commodities"
"122","tobacco, banking","Finance"
"123","Red Bull","Consumer"
"124","real estate, private equity","Real Estate"
"125","cement","Commodities"
"126","banking, shipping","Finance"
"127","luxury goods","Consumer"
"128","Cargill Inc.","Food & Beverage"
"129","discount stock brokerage","Finance"
"130","Lego","Consumer"
"131","Nintendo","Consumer"
"132","shoes","Consumer"
"133","construction, mining","Industrial"
"134","agribusiness","Food & Beverage"
"135","cable television","Media & Telecom"
"136","Apparel","Retail"
"137","malls","Retail"
"138","Oil, real estate","Energy"
"139","Formula One","Entertainment"
"140","Alticor","Consumer"
"141","Virgin","Diversified"
"142","transportation","Services"
"143","hair products, tequila","Consumer"
"144","fasteners","Industrial"
"145","healthcare","Health Care"
"146","oil, investments","Energy"
"147","New Regency","Entertainment"
"148","Intel","Technology"
"149","tools","Consumer"
"150","chemicals","Consumer"
"151","metals","Industrial"
"152","temp agency","Services"
"153","sensors","Technology"
"154","Viacom","Media & Telecom"
"155","coffee","Food & Beverage"
"156","internet, telecom","Media & Telecom"
"157","metals, real estate","Diversified"
"158","construction, media","Diversified"
"159","Coal","Energy"
"160","HCA Healthcare","Health Care"
"161","bakeries","Food & Beverage"
"162","Dolby Laboratories","Technology"
"163","plastics","Industrial"
"164","construction materials","Industrial"
"165","casinos, investments","Finance"
"166","Danaher Corp","Diversified"
"167","private equity","Finance"
"168","dairy","Commodities"
"169","computer services, real estate","Services"
"170","television","Media & Telecom"
"171","candy","Food & Beverage"
"172","Cablevision Systems","Media & Telecom"
"173","oil & gas","Energy"
"174","mining, steel","Industrial"
"175","steel pipes","Industrial"
"176","heavy industry","Industrial"
"177","Limited Brands","Retail"
"178","Star Wars","Entertainment"
"179","supermarkets, investments","Retail"
"180","media, retail","Retail"
"181","wind energy","Energy"
"182","shopping malls","Retail"
"183","oil, resorts","Energy"
"184","East Resources","Finance"
"185","Dole, real estate","Real Estate"
"186","golf courses","Entertainment"
"187","movies","Entertainment"
"188","Discount Tire","Consumer"
"189","Cosmetics","Retail"
"190","Oakley, Red Digital","Diversified"
"191","petrochemicals","Industrial"
"192","finance, retail","Finance"
"193","art","Entertainment"
"194","engineering, construction","Industrial"
"195","Engineering","Industrial"
"196","Johnson & Johnson","Health Care"
"197","food services","Food & Beverage"
"198","real estate, investments","Real Estate"
"199","travel","Services"
"200","flavorings","Food & Beverage"
"201","oil transportation","Energy"
"202","food manufacturing","Food & Beverage"
"203","Loews","Services"
"204","International Lease Finance","Finance"
"205","Mitchell Energy","Energy"
"206","gaming machines","Industrial"
"207","IDG","Technology"
"208","bank and media","Diversified"
"209","vacuums","Retail"
"210","oil & gas, investments","Energy"
"211","Stryker Corp.","Health Care"
"212","Hobby Lobby","Retail"
"213","cheese","Commodities"
"214","computer memory","Technology"
"215","security","Technology"
"216","telecom, oil, beer","Diversified"
"217","sports, real estate","Real Estate"
"218","sports teams, real estate","Real Estate"
"219","infrastructure","Industrial"
"220","Cirque du Soleil","Entertainment"
"221","banking, investments","Finance"
"222","Stephens Inc.","Finance"
"223","diamond jewelry","Consumer"
"224","Best Buy","Consumer"
"225","sugar, ethanol","Food & Beverage"
"226","trucking","Services"
"227","timberland, lumber mills","Industrial"
"228","Broadcast.com","Entertainment"
"229","metals, banking, fertilizers","Diversified"
"230","art collection","Entertainment"
"231","hotels, casinos","Services"
"232","real estate, investments, logistics","Finance"
"233","Ingram Industries","Industrial"
"234","Benetton","Retail"
"235","banking, mining","Finance"
"236","Cargill, Inc.","Food & Beverage"
"237","record label","Entertainment"
"238","diversified","Diversified"
"239","Wal-Mart","Retail"
"240","L'Oreal","Commodities"
"241","Bloomberg LP","Technology"
"242","steel","Industrial"
"243","Amazon.com","Services"
"244","steel, telecom, investments","Media & Telecom"
"245","investments","Finance"
"246","Aldi, Trader Joe's","Commodities"
"247","mining","Industrial"
"248","retail, real estate","Real Estate"
"249","retail, media","Media & Telecom"
"250","steel, coal","Energy"
"251","steel, transport","Services"
"252","software","Technology"
"253","retail","Retail"
"254","oil, diversified","Energy"
"255","gas, chemicals","Energy"
"256","biotech, investments","Finance"
"257","Technology","Technology"
"258","telecoms","Media & Telecom"
"259","Apple, Disney","Entertainment"
"260","aluminum, utilities","Diversified"
"261","banking, insurance","Services"
"262","manufacturing","Diversified"
"263","Ralph Lauren","Commodities"
"264","Commodities","Commodities"
"265","Conde Nast","Media & Telecom"
"266","banks, real estate","Real Estate"
"267","Food","Food & Beverage"
"268","diamonds","Industrial"
"269","Prada","Commodities"
"270","oil, real estate","Energy"
"271","Banking, tobacco","Finance"
"272","beverages","Food & Beverage"
"273","appliances","Retail"
"274","inherited","Diversified"
"275","pipes","Retail"
"276","Drinks","Food & Beverage"
"277","discount brokerage","Finance"
"278","Oil","Energy"
"279","Energy","Energy"
"280","Amway","Services"
"281","information technology","Technology"
"282","internet","Technology"
"283","Gaming","Technology"
"284","financial services","Services"
"285","Shopping Malls","Retail"
"286","brakes","Industrial"
"287","telcom, banking, oil","Diversified"
"288","social networking","Media & Telecom"
"289","steel pipes, diversified","Diversified"
"290","Pipelines","Commodities"
"291","Real Estate","Real Estate"
"292","HTC","Technology"
"293","food production","Food & Beverage"
"294","sourcing","Services"
"295","Banking","Finance"
"296","Prada luxury goods","Retail"
"297","computers","Technology"
"298","Oil & Gas","Energy"
"299","fertilizers","Commodities"
"300","Palm Oil","Commodities"
"301","aircraft leasing","Services"
"302","online gaming","Technology"
"303","health care","Health Care"
"304","natural gas","Energy"
"305","hotels, investments","Finance"
"306","personal care products","Health Care"
"307","retailing","Retail"
"308","Education","Services"
"309","sunglasses","Retail"
"310","tires","Industrial"
"311","finance, diversified","Diversified"
"312","Real estate","Real Estate"
"313","engineering","Technology"
"314","telecom, diversified","Media & Telecom"
"315","Groupon","Technology"
"316","motorcycles","Industrial"
"317","construction, telecom","Media & Telecom"
"318","cosmetics","Commodities"
"319","television, real estate","Real Estate"
"320","Lululemon","Retail"
"321","roofing","Services"
"322","book distribution, transportation","Services"
"323","Glencore International","Commodities"
"324","self storage","Industrial"
"325","investment banking","Finance"
"326","Television","Entertainment"
"327","mobile phones","Technology"
"328","optometry","Health Care"
"329","banking, media","Finance"
"330","sports retailing","Retail"
"331","Subway Restaurants","Food & Beverage"
"332","hotels, restaurants","Services"
"333","SC Johnson & Sons","Commodities"
"334","cement, sugar, flour","Commodities"
"335","eyeglasses","Health Care"
"336","money management","Finance"
"337","drinks","Food & Beverage"
"338","Internet, telecom","Technology"
"339","banking, tobacco","Finance"
"340","technology","Technology"
"341","drilling, shipping","Services"
"342","drugstores","Retail"
"343","Hyundai motor","Industrial"
"344","real estate, shipping","Real Estate"
"345","oil and gas","Energy"
"346","soft drinks, diversified","Food & Beverage"
"347","gambling machines","Entertainment"
"348","automobiles","Industrial"
"349","publishing, TV","Media & Telecom"
"350","ports","Services"
"351","business software","Technology"
"352","telcom, oil","Diversified"
"353","Forever 21","Commodities"
"354","Lactalis","Food & Beverage"
"355","construction equipment","Industrial"
"356","Chick-fil-A","Food & Beverage"
"357","movie making","Entertainment"
"358","energy, investments","Energy"
"359","education","Services"
"360","development","Services"
"361","real estate, retail","Diversified"
"362","Consumer goods","Commodities"
"363","Consumer Goods","Commodities"
"364","Quicken Loans","Finance"
"365","retail & gas stations","Energy"
"366","home improvement stores","Retail"
"367","Polyester","Industrial"
"368","food distribution","Food & Beverage"
"369","construction, pipes, banking","Industrial"
"370","diapers","Health Care"
"371","elevators, escalators","Industrial"
"372","LinkedIn","Technology",
"373","Home Depot","Services"
"374","oil, real estate, supermarkets","Diversified"
"375","online games","Technology"
"376","plumbing fixtures","Services"
"377","cement, airport","Industrial"
"378","shipping, seafood","Food & Beverage"
"379","Diesel Jeans","Retail"
"380","bank, media","Media & Telecom"
"381","wind turbines","Energy"
"382","auto parts","Industrial"
"383","TV broadcasting","Entertainment"
"384","metals, energy","Energy"
"385","Dish Network","Media & Telecom"
"386","internet media","Media & Telecom"
"387","internet search","Media & Telecom"
"388","renewable energy","Energy"
"389","e-commerce","Retail"
"390","Inherited","Diversified"
"391","food, beverages","Food & Beverage"
"392","Tesla Motors","Industrial"
"393","wine","Food & Beverage"
"394","gambling","Entertainment"
"395","WhatsApp","Media & Telecom"
"396","banking, real estate","Real Estate"
"397","Telecom","Media & Telecom"
"398","pipe manufacturing","Industrial"
"399","Media","Media & Telecom"
"400","clothing retail","Retail"
"401","fashion retail","Retail"
"402","property","Real Estate"
"403","vaccines","Consumer"
"404","computer hardware","Technology"
"405","palm oil, real estate","Real Estate"
"406","batteries, autos","Industrial"
"407","internet service provider","Services"
"408","electronics retailer","Retail"
"409","smartphones","Technology"
"410","delivery service","Services"
"411","Television, Real Estate","Diversified"
"412","Reitan Group","Diversified"
"413","U-Haul","Consumer"
"414","casinos, hotels","Entertainment"
"415","tobacco distribution, retail","Retail"
"416","autoparts","Industrial"
"417","insurance, beverages","Finance"
"418","hedge Fund","Finance"
